волыночка	волынка
кудреватенький	кудрявый
культурка	культура
купидончик	купидон
кургузенький	кургузый
куропаточка	куропатка
курортик	курорт
кустик	куст
кусточек	куст
лавочка	лавка
лавчонка	лавка
лапшичка	лапша
Лизаветочка	Лизавета
паромчик	паром
пассивненько	пассивно
пенечек	пенек
пенек	пень
перегрузочка	перегрузка
перелесочек	перелесок
переломчик	перелом
переменка	перемена
рассужденьице	рассуждение
растворчик	раствор
реечка	рейка
рейсик	рейс
рейтузики	рейтузы
рекогносцировочка	рекогносцировка
ремонтик	ремонт
ретивенько	ретиво
реторточка	реторта
реформочка	реформа
Риммочка	Римма
рифмочка	рифма
родименький	родимый
родничок	родник
ромашечка	ромашка
рубашонка	рубашка
рубашоночка	рубашка
рубашечка	рубашка
рубашка	рубашка
ручища	рука
рученька	рука
ручка	рука
ручонка	рука
рукояточка	рукоятка
рыбалочка	рыбалка
рюмашка	рюмка
рюмашечка	рюмка
рюмочка	рюмка
салатик	салат
салончик	салон
салфеточка	салфетка
газончик	газон
Галиночка	Галина
гарнирчик	гарнир
героинчик	героин
глазастенький	глазастый
глыбочка	глыба
глыбища	глыба
годок	год
годочек	год
годненький	годный
голодновато	голодно
голодноватый	голодный
голодненький	голодный
гоночка	гонка
горка	гора
горушка	гора
горбатенький	горбатый
горюшко	горе
лобочек	лобок
пиздеж	ложь
брехня	ложь
вранье	ложь
лосьончик	лосьон
лоточек	лоток
лупоглазенький	лупоглазый
льдиночка	льдинка
Люба	Любовь
лямочка	лямка
мавзолейчик	мавзолей
маечка	майка
макушечка	макушка
маленечко	мало
манехонько	мало
маловатенько	мало
маленько	мало
малокультурненький	малокультурный
манерочка	манера
марлечка	марля
массовочка	массовка
мачточка	мачта
машинка	машина
медовенький	медовый
мелковато	мелко
меленько	мелко
мелконько	мелко
мерзавочка	мерзавка
месторожденьице	месторождение
мешочек	мешок
мещаночка	мещанка
перстенек	перстень
песочечек	песок
песочек	песок
пестроватый	пестрый
пестренький	пестрый
пещерка	пещера
пианисточка	пианистка
пипеточка	пипетка
плавненький	плавный
пластиночка	пластинка
платформочка	платформа
плашечка	плашка
плащик	плащ
пледик	плед
племяш	племянник
племянничек	племянник
плешивенький	плешивый
плотноватый	плотный
плотненький	плотный
сарайчик	сарай
сборничек	сборник
свадебка	свадьба
светильничек	светильник
свободненько	свободно
седлышко	седло
сезончик	сезон
селяночка	селянка
серовато	серо
серенько	серо
сертификатик	сертификат
Сибиллочка	Сибилла
силушка	сила
силища	сила
силенка	сила
Греточка	Грета
гривенничек	гривенник
грозненький	грозный
грубовато	грубо
грубенько	грубо
грузовичок	грузовик
густенький	густой
густоватый	густой
гуцулочка	гуцулка
давленьице	давление
дворничек	дворник
дворняжка	дворняга
девонька	девочка
девчоночка	девочка
девчонка	девочка
девчушка	девочка
предерзко	дерзко
дерьмовенький	дерьмовый
десантничек	десантник
десяточка	десятка
Димочка	Дима
Димка	Дима
микстурка	микстура
миллионерчик	миллионер
миленький	милый
Митька	Митя
Митенька	Митя
мокренько	мокро
мокрехонько	мокро
мокровато	мокро
молоточек	молоток
мосластенький	мосластый
мудренько	мудро
мулаточка	мулатка
мундштучок	мундштук
мурочка	мурка
мутненько	мутно
мутновато	мутно
мутноватенько	мутно
муфточка	муфта
мышка	мышь
мяконько	мягко
мягенько	мягко
мягонько	мягко
набалдашничек	набалдашник
набоечка	набойка
нагловатый	наглый
подвесочка	подвеска
подготовочка	подготовка
подорожничек	подорожник
подробненько	подробно
подъемчик	подъем
позднехонько	поздно
поздновато	поздно
поздненько	поздно
позднешенько	поздно
поздноватенько	поздно
поколеньице	поколение
сказочка	сказка
сквознячок	сквозняк
скользковатый	скользкий
скребочек	скребок
скромненький	скромный
скромноватый	скромный
скудненький	скудный
скудноватый	скудный
сладковатый	сладкий
сладенький	сладкий
слезнехонько	слезно
слоник	слон
служаночка	служанка
смертничек	смертник
смешноватый	смешной
снарядик	снаряд
снежок	снег
снопик	сноп
собраньице	собрание
совпаденьице	совпадение
солисточка	солистка
сотенка	сотня
длинненький	длинный
длиннехонький	длинный
длинноватый	длинный
довольнехонький	довольный
довольненький	довольный
довольнешенький	довольный
дождевичок	дождевик
дождливенько	дождливо
документик	документ
долговязенький	долговязый
дороговатенький	дороговатый
дочурочка	дочка
дочечка	дочка
драчка	драка
поставочка	драка
дружбочка	дружба
дрянненько	дрянно
дудочка	дудка
Дусечка	Дуся
Дуська	Дуся
душноватый	душный
Егорка	Егор
Егорушка	Егор
единичка	единица
Емелька	Емеля
прежалко	жалко
жалковато	жалко
жалконько	жалко
жалобнехонько	жалобно
железочка	железка
Женька	Женя
Женечка	Женя
Женька	Женя
Женечка	Женя
наклеечка	наклейка
намордничек	намордник
нарядненький	нарядный
наслажденьице	наслаждение
неважненько	неважно
невозможненький	невозможный
неглупенький	неглупый
негодованьице	негодование
покушеньице	покушение
полуподвальчик	полуподвал
помпочка	помпа
помпончик	помпон
понятненько	понятно
попыточка	попытка
посерединке	посередине
посредничек	посредник
стакашечек	стакан
стаканчик	стакан
стакашек	стакан
стандартик	стандарт
стандартненько	стандартно
старшенький	старший
статисточка	статистка
стебелечек	стебель
стебелек	стебель
стервочка	стерва
стервятничек	стервятник
столовка	столовая
стороночка	сторонка
стояночка	стоянка
стразик	страза
странничек	странник
страшненько	страшно
сташноватенько	страшно
страшнехонько	страшно
стрекозочка	стрекоза
строгохонько	строго
строговато	строго
строгонько	строго
стройненько	стройно
стручочек	стручок
супец	суп
супик	суп
супчик	суп
Сусанночка	Сусанна
суставчик	сустав
сутуловато	сутуло
сухарик	сухарь
сытехонько	сыто
Сюзанночка	Сюзанна
табачок	табак
табуреточка	табуретка
тайночка	тайна
танчик	танк
тарелочка	тарелка
вольненько	вольно
вольнехонько	вольно
вприкусочку	вприкуску
вшивенький	вшивый
выраженьице	выражение
корка	кора
коренастенький	коренастый
кореяночка	кореянка
коридорчик	коридор
коробочка	коробка
коробчонка	коробка
корпоративчик	корпоратив
косолапенький	косолапый
косточка	кость
косячок	косяк
котлетка	котлета
котлеточка	котлета
кочанчик	кочан
кошечка	кошка
красновато	красно
кренделек	крендель
креолочка	креолка
крестничек	крестник
Кристинка	Кристина
Кристиночка	Кристина
крохотулечка	крохотуля
кружок	круг
крутоватый	крутой
кудряшечка	кудряшка
кулачище	кулак
кулачишко	кулак
кулачок	кулак
культуристочка	культуристка
курочка	курица
кучечка	кучка
лабрадорчик	Лабрадор
лапочка	лапа
лапища	лапа
лапка	лапа
леечка	лейка
ленточка	лента
лестничка	лестница
лесенка	лестница
лианочка	лиана
линеечка	линейка
парижаночка	парижанка
пейзажисточка	пейзажистка
пенка	пена
переписочка	переписка
расчесочка	расческа
расчудесненько	расчудесно
реактивненько	реактивно
ребятеночек	ребенок
ребеночек	ребенок
ребрышко	ребро
региончик	регион
резвенький	резвый
ремешочек	ремешок
рецептик	рецепт
рододендрончик	рододендрон
розовато	розово
ромбик	ромб
ружьишко	ружье
рябоватенький	рябоватый
рядок	ряд
рядочек	рядок
сабантуйчик	сабантуй
самодельненький	самодельный
вяловато	вяло
вяленько	вяло
газеточка	газета
газетка	газета
газетенка	газета
галочка	галка
галстучек	галстук
гардеробчик	гардероб
геккончик	геккон
гильотинка	гильотина
гимназисточка	гимназистка
голосочек	голосок
голубоглазенький	голубоглазый
голенький	голый
гольфик	гольф
гонорарчик	гонорар
горочка	горка
горстка	горсть
горсточка	горсть
горчичничек	горчичник
ложбинка	ложбина
локоточек	локоток
локоток	локоть
лужок	луг
Луизочка	Луиза
магазинчик	магазин
магнитик	магнит
мажорчик	мажор
Майечка	Майя
Макарушка	Макар
мамочкин	мамин
мамулечка	мамуля
масочка	маска
матросик	матрос
машинисточка	машинистка
персонажик	персонаж
пестроватенький	пестроватый
песчиночка	песчинка
Петруха	Петр
Петруша	Петр
Петька	Петр
пиночек	пинок
пихточка	пихта
плавничок	плавник
платочек	платок
плафончик	плафон
плевенький	плевый
плиточка	плитка
плосконький	плоский
плосковатый	плоский
плотненько	плотно
плюсик	плюс
плюсище	плюс
победочка	победа
поганенький	поганый
самолетик	самолет
самородочек	самородок
санитарочка	санитарка
саночки	санки
сантиметрик	сантиметр
сардинка	сардина
сахарочек	сахарок
сваечка	свая
свечка	свеча
сделочка	сделка
сейфик	сейф
сердцевинка	сердцевина
серебришко	серебро
сестреночка	сестренка
сизовато	сизо
симочка	Сима
сиропчик	сироп
сиротиночка	сиротинка
готовенький	готовый
гребешочек	гребешок
грелочка	грелка
грешок	грех
Гришаня	Гриша
Гришенька	Гриша
Гришка	Гриша
гротик	грот
грубоватый	грубый
грустноватый	грустный
грустненький	грустный
грязноватенький	грязноватый
грязноватый	грязный
далековатый	далекий
дамочка	дама
дачка	дача
двадцатничек	двадцатник
двухтомничек	двухтомник
девчоночка	девчонка
девчушечка	девчушка
делишки	дело
десертик	десерт
детишки	дети
джемперочек	джемпер
Джульетточка	Джульетта
диковинка	диковина
свеколка	свекла
сверхинтересненький	сверхинтересный
свисточек	свисток
свитерочек	свитерок
сводочка	сводка
связисточка	связистка
сгусточек	сгусток
северяночка	северянка
Серафимочка	Серафима
середочка	середка
сиденьице	сиденье
силуэтик	силуэт
симпатичненько	симпатично
синенький	синий
синеватый	синий
сисястенький	сисястый
гостьюшка	гостья
графинчик	графин
гривочка	грива
громковатый	громкий
грудастенький	грудастый
гуляночка	гулянка
давочка	давка
давненько	давно
давнешенько	давно
давнехонько	давно
далековатенько	далековато
дворянчик	дворянин
дедочек	дед
дедушка	дед
дедуля	дед
дедок	дед
дедулька	дед
демократичненько	демократично
деревенька	деревня
деревнюшка	деревня
деревушка	деревня
деревце	дерево
деревянненький	деревянный
дерьмовенько	дерьмово
джинсики	джинсы
джипчик	джип
джипик	джип
Диночка	Дина
Динка	Дина
дипломчик	диплом
Миха	Михаил
модисточка	модистка
молочко	молоко
молчаливенький	молчаливый
мопедик	мопед
мордастенький	мордастый
мордатенький	мордатый
мордашечка	мордашка
морщиночка	морщинка
моторчик	мотор
мотоциклик	мотоцикл
музочка	муза
мундирчик	мундир
мышоночек	мышонок
нагленько	нагло
нагловато	нагло
надежненько	надежно
наживочка	наживка
пограничничек	пограничник
поддержечка	поддержка
подельничек	подельник
подписочка	подписка
подрамничек	подрамник
подсказочка	подсказка
подъездик	подъезд
позвоночек	позвонок
скелетик	скелет
склончик	склон
скуповато	скупо
скупенько	скупо
прескучно	скучно
скучненько	скучно
скучновато	скучно
скучнехонько	скучно
скучноватенько	скучно
слабосильненький	слабосильный
Слава	Славик
слеповато	слепо
словарик	словарь
словечко	слово
слюнка	слюна
смелехонько	смело
смешненько	смешно
смоляночка	смолянка
снеговичок	снеговик
совестишка	совесть
соломинка	соломина
сообщеньице	сообщение
сооруженьице	сооружение
сошка	соха
спиночка	спинка
дисциплинка	дисциплина
дисциплиночка	дисциплина
добродушненько	добродушно
добрячок	добряк
предолго	долго
долговато	долго
долгохонько	долго
достойненький	достойный
дракончик	дракон
дракоша	дракон
дрессировочка	дрессировка
дружненько	дружно
дрябленький	дряблый
дрябловатый	дряблый
дубленочка	дубленка
думочка	дума
думка	дума
душик	душ
дырища	дыра
дырочка	дыра
дырка	дыра
дьячок	дьяк
жорево	еда
жратва	еда
жрачка	еда
ежик	еж
елочка	елка
жакетик	жакет
жалостливенький	жалостливый
желобочек	желобок
женишок	жених
накладочка	накладка
напильничек	напильник
нарядненько	нарядно
нативненько	нативно
наушничек	наушник
неаккуратненько	неаккуратно
полгодика	полгода
полегонечку	полегоньку
преполезно	полезно
полезненько	полезно
Полиночка	Полина
полосатенький	полосатый
полуботиночек	полуботинок
поплавочек	поплавок
порошочек	порошок
портяночка	портянка
постепенненько	постепенно
спозараночку	спозаранку
спокойнехонько	спокойно
спокойнешенько	спокойно
преспокойно	спокойно
спокойненько	спокойно
станочек	станок
престаренький	старый
старенький	старый
староватый	старый
статейка	статья
статеечка	статья
стежечек	стежок
стервозненько	стервозно
стишок	стих
стихотвореньице	стихотворение
столбик	столб
стольничек	стольник
страхованьице	страхование
модненько	модно
монтировочка	монтировка
морковка	морковь
мосточек	мост
муженек	муж
мыслишка	мысль
наводочка	наводка
нагловатенький	нагловатый
наемничек	наемник
наизнаночку	наизнанку
погребок	погреб
подбородочек	подбородок
подрясничек	подрясник
подставочка	подставка
подтяжечка	подтяжка
подходик	подход
скобочка	скобка
прескромненько	скромно
скромненько	скромно
скромнехонько	скромно
скучища	скука
скукотища	скука
скуповатый	скупой
слабоватенько	слабовато
Слава	Славочка
слепочек	слепок
слиточек	слиток
сложновато	сложно
сложноватенько	сложно
сложненько	сложно
смугловатенький	смугловатый
смугляночка	смуглянка
смышлененький	смышленый
собственничек	собственник
соединеньице	соединение
соколик	сокол
солоноватый	соленый
солененький	соленый
сосок	сосочек
состояньице	состояние
Софичка	Софья
сочиненьице	сочинение
сочненький	сочный
спасеньице	спасение
Спирька	Спиридон
списочек	список
договорчик	договор
дождище	дождь
дождичек	дождь
дождик	дождь
докладик	доклад
домишка	дом
домик	дом
домище	дом
домишко	дом
дороговато	дорого
достойненько	достойно
дохловатый	дохлый
дохленький	дохлый
доходик	доход
древненький	древний
дробинка	дробина
дружбан	друг
друган	друг
Дуняшка	Дуня
Дунька	Дуня
Дунечка	Дуня
дурища	дура
дурашка	дура
дурочка	дура
духотища	духота
дымочек	дымок
Евочка	Ева
Женя	Евгения
ежевичка	ежевика
Ефимушка	Ефим
ехидненько	ехидно
желаньице	желание
налетик	налет
нарушеньице	нарушение
наследничек	наследник
наставничек	наставник
наступленьице	наступление
начальничек	начальник
начесик	начес
нашивочка	нашивка
невзрачненько	невзрачно
полезненький	полезный
поленце	полено
полетик	полет
поливалочка	поливалка
половичок	половик
положеньице	положение
полтинничек	полтинник
полуголенький	полуголый
портсигарчик	портсигар
портфельчик	портфель
поршенек	поршень
посланьице	послание
послушненький	послушный
срочненько	срочно
ставочка	ставка
стадиончик	стадион
стеклышко	стекло
стишочек	стишок
столкновеньице	столкновение
сторонничек	сторонник
страничка	страница
странноватенький	странноватый
стрелочка	стрелка
строговатый	строгий
строгонький	строгий
строеньице	строение
стройненький	стройный
стройнехонький	стройный
субъектик	субъект
сумочка	сумка
суммочка	сумма
супермаркетик	супермаркет
сутуленький	сутулый
сутуловатый	сутулый
счастливенько	счастливо
сынишка	сын
сынуля	сын
сыночек	сын
сынок	сын
сыренький	сырой
сыроватый	сырой
сытненько	сытно
Танюшечка	Танюша
Татьяночка	Татьяна
телевизорик	телевизор
теленочек	теленок
телефончик	телефон
аперитивчик	аперитив
аристократочка	аристократка
ароматик	аромат
аспектик	аспект
аукциончик	аукцион
баллончик	баллон
банчик	банк
баночка	банка
Баська	Бася
беззубенький	беззубый
беловатенький	беловатый
запоночка	запонка
заторчик	затор
заумненький	заумный
зачисточка	зачистка
защелочка	защелка
защитничек	защитник
зверюшка	зверь
звереныш	зверь
зверушка	зверь
зверек	зверь
зверюга	зверь
звоночек	звонок
здоровенький	здоровый
злобненько	злобно
значочек	значок
недочетик	недочет
нежненький	нежный
неказистенький	неказистый
некомфортненько	некомфортно
ненасытненький	ненасытный
гримасочка	гримаса
грузик	груз
группка	группа
группочка	группа
грызунчик	грызун
губастенький	губастый
двадцаточка	двадцатка
двоечка	двойка
дедулечка	дедуля
дежурненький	дежурный
декларативненько	декларативно
деликатненько	деликатно
деликатненький	деликатный
дельфинчик	дельфин
дешевенько	дешево
дешевенький	дешевый
Дианочка	Диана
диванчик	диван
дивненько	дивно
дикарочка	дикарка
микрофончик	микрофон
микрочастичка	микрочастица
миниатюрненький	миниатюрный
минусик	минус
Мирандочка	Миранда
мокроватый	мокрый
мокрехонький	мокрый
моментальненько	моментально
монетка	монета
мотылечек	мотылек
мохнатенький	мохнатый
моховичок	моховик
муравейничек	муравейник
подвязочка	подвязка
повязочка	подвязка
подгузничек	подгузник
поддатенький	поддатый
подложечка	подложка
подлокотничек	подлокотник
подосиновичек	подосиновик
подпорочка	подпорка
подросточек	подросток
подсыпочка	подсыпка
подходященько	подходяще
подчисточка	подчистка
поединочек	поединок
покойничек	покойник
скакалочка	скакалка
прескверно	скверно
скверненько	скверно
скидочка	скидка
скрепочка	скрепка
скрипочка	скрипка
скуластенький	скуластый
слабовато	слабо
слабенько	слабо
слабехонько	слабо
славнешенько	славно
славненько	славно
службишка	служба
службочка	служба
смачненько	смачно
собеседничек	собеседник
советничек	советник
соглашеньице	соглашение
соображеньице	соображение
сопливенький	сопливый
сосочек	сосок
состязаньице	состязание
сосудик	сосуд
соточка	сотка
спецовочка	спецовка
довольнехонько	довольно
долечка	доля
долюшка	доля
домашненький	домашний
дороговатенько	дороговато
досочка	доска
досточка	доска
дощечка	доска
дружочек	дружок
дурненький	дурной
дурноватый	дурной
душенька	душа
душонка	душа
дыханьице	дыхание
дюжинка	дюжина
дюночка	дюна
ельничек	ельник
жарковатый	жаркий
жбанчик	жбан
желанненький	желанный
жаланненький	желанный
женка	жена
жинка	жена
женушка	жена
бабский	женский
бабий	женский
накидочка	накидка
накидушка	накидка
негритяночка	негритянка
ползуночек	ползунок
полноватенький	полноватый
половничек	половник
полотенчико	полотенце
полотенчик	полотенце
пользочка	польза
помаленечку	помалу
помаленьку	помалу
помарочка	помарка
пометочка	пометка
помещичек	помещик
попик	поп
поправочка	поправка
попсовенький	попсовый
порожек	порог
порядочек	порядок
поспешненько	поспешно
сподвижничек	сподвижник
спортивненький	спортивный
справочка	справка
средненький	средний
старикашечка	старик
старичок	старик
старикашка	старик
старичочек	старичок
старомодненько	старомодно
стенка	стена
стеночка	стена
стильненько	стильно
стоечка	стойка
столик	стол
стопарик	стопарь
стражничек	стражник
страшноватенько	страшновато
страшноватый	страшный
престрашненький	страшный
страшненький	страшный
стрижечка	стрижка
стружечка	стружка
струйка	струя
струечка	струя
сусличек	Суслик
суходрочка	суходрочка
считалочка	считалка
сюртучок	сюртук
тайничок	тайник
танцулька	танец
театрик	театр
телеканальчик	телеканал
Анюточка	Анюта
аппаратик	аппарат
арбузик	арбуз
арочка	арка
артисточка	артистка
бабуська	бабушка
балетик	балет
барабанчик	барабан
баронессочка	баронесса
басоватый	басовый
