Я живу на Кольском .	ты живешь на Кольском .
Я отдаю намного дешевле .	ты отдаешь намного дешевле .
Я купила с распродажи !	ты купила с распродажи !
Я продаю в три раза дешевле .	ты продаешь в три раза дешевле .
Я предлагаю услуги няни .	ты предлагаешь услуги няни .
Я разнорабочий выполню работу .	ты разнорабочий выполнишь работу .
Я работаю без посредников .	ты работаешь без посредников .
Я носила пару раз .	ты носила пару раз .
Звоните срочно я в СПб	Звоните срочно ты в СПб
Я использовала как люльку .	ты использовала как люльку .
Я есть в контакте .	ты есть в контакте .
Я продаю за 4000 .	ты продаешь за 4000 .
Я покупала со скидкой .	ты покупала со скидкой .
Я использовал как нетбук .	ты использовал как нетбук .
Я продаю за 1000 рублей	ты продаешь за 1000 рублей
Я владею 2 года .	ты владеешь 2 года .
Я нахожусь на квартале .	ты находишься на квартале .
Я отдаю почти даром !!!	ты отдаешь почти даром !!!
Я не являюсь перекупщиком !	ты не являешься перекупщиком !
Клейм я не обнаружил .	Клейм ты не обнаружил .
Я работаю только на колесниках	ты работаешь только на колесниках
Я ничего не покупаю .	ты ничего не покупаешь .
Коммунальные услуги оплачиваю я .	Коммунальные услуги оплачиваешь ты .
Носила я с удовольствием .	Носила ты с удовольствием .
Я дорожу каждым клиентом .	ты дорожишь каждым клиентом .
Я отдам за 19500р .	ты отдашь за 19500р .
Я всегда делал по-своему .	ты всегда делал по-своему .
Я недавно приехал из киргизя	ты недавно приехал из киргизя
Я ищу работу подработа специалист	ты ищешь работу подработа специалист
Покупала я за 5000руб .	Покупала ты за 5000руб .
Я так и носила .	ты так и носила .
Я использовала два раза .	ты использовала два раза .
Я продаю за 3000 .	ты продаешь за 3000 .
Я не боюсь объемов .	ты не боишься объемов .
Я свои отдаю в два раза дешевле	ты свои отдаешь в два раза дешевле
Скрытые крепления я снял !!!	Скрытые крепления ты снял !!!
Я и бесплатно отдам .	ты и бесплатно отдашь .
Я работаю на раздольном .	ты работаешь на раздольном .
Я весь внутри плачу .	ты весь внутри плачешь .
Монеты я не очищал .	Монеты ты не очищал .
Смс я не читаю .	Смс ты не читаешь .
Я с удовольствием помогу !	ты с удовольствием поможешь !
Я действую именно так .	ты действуешь именно так .
Я Кристина работаю на дому .	ты Кристина работаешь на дому .
Я отправкой не занимаюсь !	ты отправкой не занимаешься !
За все я отдавал 16.300	За все ты отдавал 16.300
Я бы не уходила .	ты бы не уходила .
Я родился для детей !	ты родился для детей !
Я искал его полгода .	ты искал его полгода .
Носил я в чехле .	Носил ты в чехле .
Я занимаюсь ремонтом компьютеров .	ты занимаешься ремонтом компьютеров .
Я отдам за 28500 .	ты отдашь за 28500 .
Надевала я 1 раз .	Надевала ты 1 раз .
Но я бы обслужил !	Но ты бы обслужил !
Я предоставляю компьютерную помощь .	ты предоставляешь компьютерную помощь .
Я оказываю компьютерную помощь .	ты оказываешь компьютерную помощь .
Часы фотографировал я сам .	Часы фотографировал ты сам .
Я допускаю небольшой обоснованный торг	ты допускаешь небольшой обоснованный торг
Я очень хорошо уступаю !	ты очень хорошо уступаешь !
Я очень качественно работаю .	ты очень качественно работаешь .
Недостатков я не нашла .	Недостатков ты не нашла .
Пишите я сам свяжусь Тимур	Пишите ты сам свяжешься Тимур
Я продаю свою машину .	ты продаешь свою машину .
Я нахожусь в Елабуге .	ты находишься в Елабуге .
Я преподаю уроки вождения .	ты преподаешь уроки вождения .
Я начал осознанные эксперименты .	ты начал осознанные эксперименты .
Я нахожусь в Украине .	ты находишься в Украине .
Я высылаю в любой регион	ты высылаешь в любой регион
Я ЖЕ ПРЕДЛАГАЮ ДЕШЕВЛЕ .	ты ЖЕ предлагаешь ДЕШЕВЛЕ .
Прежде чем я упаду 16 .	Прежде чем ты упадешь 16 .
Что я предлагаю инвестору ;	Что ты предлагаешь инвестору ;
Я носила с поясом .	ты носила с поясом .
Я шью оригинальные буковки .	ты шьешь оригинальные буковки .
Я перезвоню или напишу ...	ты перезвонишь или напишешь ...
Я упал на телефон .	ты упал на телефон .
Лучшее что я пробовала .	Лучшее что ты пробовала .
Нахожусь я в столице .	находишься ты в столице .
Пока что я нахожусь в Воронеже	Пока что ты находишься в Воронеже
В ватсапе я есть .	В ватсапе ты есть .
Часть я подарил родственникам .	Часть ты подарил родственникам .
Я ничего не переделывал .	ты ничего не переделывал .
Я нахожусь а старом Петергофе	ты находишься а старом Петергофе
Я предлагаю за 3000р .	ты предлагаешь за 3000р .
Нахожусь я в Колпино !	находишься ты в Колпино !
Я отдам за 2500 .	ты отдашь за 2500 .
Я ищу работу маляром .	ты ищешь работу маляром .
Я с удовольствием отвечу .	ты с удовольствием ответишь .
Нахожусь я в Москве .	находишься ты в Москве .
Я носила во время беременности .	ты носила во время беременности .
В квартире проживаю я !	В квартире проживаешь ты !
Почему я ищу работу ?	Почему ты ищешь работу ?
Я нахожусь на материке .	ты находишься на материке .
Я дарю людям праздник !	ты даришь людям праздник !
Я носила на 44 .	ты носила на 44 .
Чек я не сохранила .	Чек ты не сохранила .
Я продаю за 45000 .	ты продаешь за 45000 .
Как я потерялся 11 .	Как ты потерялся 11 .
Я РЕДКО ПРОСМАТРИВАЮ СООБЩЕНИЯ .	ты РЕДКО просматриваешь СООБЩЕНИЯ .
Я на 3 оставила .	ты на 3 оставила .
Я покупала за 2400 .	ты покупала за 2400 .
Я наношу ватной палочкой .	ты наносишь ватной палочкой .
Я НЕ рисую эскизы ;	ты НЕ рисуешь эскизы ;
Телефоном пользовался я сам .	Телефоном пользовался ты сам .
Я нахожусь в Новосибирске !	ты находишься в Новосибирске !
Я ношу третий сезон .	ты носишь третий сезон .
Я дрался в Сталинграде .	ты дрался в Сталинграде .
Изыски я не придумывала .	Изыски ты не придумывала .
Почему я это пишу ?	Почему ты это пишешь ?
Я предоставляю полный спектр услуг	ты предоставляешь полный спектр услуг
Я отдаю вдвое дешевле .	ты отдаешь вдвое дешевле .
Делаю все лично я !	делаешь все лично ты !
Предворительно смс я перезвоню .	Предворительно смс ты перезвонишь .
Я учусь в Москве !	ты учишься в Москве !
Писать на авито я перезвоню	Писать на авито ты перезвонишь
Я работаю на результат .	ты работаешь на результат .
Я больше не шучу .	ты больше не шутишь .
Я ищу себе хозяина .	ты ищешь себе хозяина .
Я родился 10 февраля .	ты родился 10 февраля .
Я ищу постаюнную работу .	ты ищешь постаюнную работу .
Я люблю разную музыку .	ты любишь разную музыку .
Я делаю электричество все сожное	ты делаешь электричество все сожное
Я бываю в рейсе .	ты бываешь в рейсе .
Я отпишу или перезвоню .	ты отпишешь или перезвонишь .
Я уважаю свой труд .	ты уважаешь свой труд .
Но это я увлеклась .	Но это ты увлеклась .
Я думаю , договоримся .	ты думаешь , договоримся .
Когда я рожу ребёнка ?	Когда ты родишь ребёнка ?
СМС я сама перезвоню .	СМС ты сама перезвонишь .
Я мечтала об Африке .	ты мечтала об Африке .
Я живи с дочкой .	ты живи с дочкой .
Только я нахожусь в шелехове	Только ты находишься в шелехове
Я искала именно такой .	ты искала именно такой .
Я нахожусь в батайске .	ты находишься в батайске .
Я выезжаю на дом !	ты выезжаешь на дом !
Звоните я не кусаюсь .	Звоните ты не кусаешься .
Которые я не ношу .	Которые ты не носишь .
Я продаю по 70р .	ты продаешь по 70р .
Какие услуги я предоставляю ?	Какие услуги ты предоставляешь ?
Я использую натуральные продукты .	ты используешь натуральные продукты .
Я нахожусь в Хасавюрте .	ты находишься в Хасавюрте .
Но я быстро обучаем .	Но ты быстро обучаем .
Сейчас я работаю дома .	Сейчас ты работаешь дома .
Я продаю за 1300рублей !	ты продаешь за 1300рублей !
Я отдам за 12000руб .	ты отдашь за 12000руб .
Я ношу 38 размер !	ты носишь 38 размер !
Я назвала её Данфейт .	ты назвала её Данфейт .
Еще я вкусно готовлю .	Еще ты вкусно готовишь .
Я ног не боюсь .	ты ног не боишься .
Я ищу работу промоутер .	ты ищешь работу промоутер .
Я переехала с севера .	ты переехала с севера .
Условия оформления я написала .	Условия оформления ты написала .
Взамен я требую уважение .	Взамен ты требуешь уважение .
Тестирование игр я предоставлю ;	Тестирование игр ты предоставишь ;
Я дорожу своими клиентами .	ты дорожишь своими клиентами .
Я Шаурмист Опытный все умею	ты Шаурмист Опытный все умеешь
Помещают я в автомобиль .	Помещают ты в автомобиль .
Я нахожусь в Москве .	ты находишься в Москве .
Я бы выбрал второе .	ты бы выбрал второе .
Впрочем , я отвлекся .	Впрочем , ты отвлекся .
Я говорю - визируй .	ты говоришь - визируй .
Я больше не буду !	ты больше не будешь !
Впрочем , я увлекся .	Впрочем , ты увлекся .
Я верю в программистов .	ты веришь в программистов .
Ну да я отвлекся .	Ну да ты отвлекся .
Я не занимаюсь наукой .	ты не занимаешься наукой .
Я ничего не имею .	ты ничего не имеешь .
Я поспешил к берегу .	ты поспешил к берегу .
Я поискал утилиту переиндексации .	ты поискал утилиту переиндексации .
Но я не хочу .	Но ты не хочешь .
Что же я обнаружил ?	Что же ты обнаружил ?
Возможно , я ошибусь .	Возможно , ты ошибешься .
А я увидел следующее .	А ты увидел следующее .
Я поднялся еще выше .	ты поднялся еще выше .
Потом я купил компьютер .	Потом ты купил компьютер .
Это я так сделал .	Это ты так сделал .
Скачивал бы я программы ?	Скачивал бы ты программы ?
Кофе я не пил .	Кофе ты не пил .
Я до сих пор не понимаю .	ты до сих пор не понимаешь .
Я и не ввел .	ты и не ввел .
И что я вижу ?!	И что ты видишь ?!
Я не боюсь .	ты не боишься .
Крови я мало потерял .	Крови ты мало потерял .
Теперь я стал другим .	Теперь ты стал другим .
Вот я и переместил .	Вот ты и переместил .
Я просто нажимаю клавиши .	ты просто нажимаешь клавиши .
Что я и делаю .	Что ты и делаешь .
Я просто приведу пример .	ты просто приведешь пример .
Так я думал раньше .	Так ты думал раньше .
Я делал первый ход .	ты делал первый ход .
Я вовсе не жалуюсь .	ты вовсе не жалуешься .
Но что я вижу ?	Но что ты видишь ?
Я рекламировал интересный сайт .	ты рекламировал интересный сайт .
Такое я вижу впервые .	Такое ты видишь впервые .
Со спамом я справлюсь .	Со спамом ты справишься .
Я не сдержал улыбки .	ты не сдержал улыбки .
В чем я разбираюсь ?	В чем ты разбираешься ?
Потому что я этого хочу .	Потому что ты этого хочешь .
Я выполнил поставленную задачу .	ты выполнил поставленную задачу .
Я и не буду .	ты и не будешь .
Этим я и занялся .	Этим ты и занялся .
Я вырос на этом .	ты вырос на этом .
Но я же заказывал ?!	Но ты же заказывал ?!
В итоге я решил .	В итоге ты решил .
Тут - то я и понял !	Тут - то ты и понял !
Я собой буквально горжусь .	ты собой буквально гордишься .
Почему я так говорю ?	Почему ты так говоришь ?
Я поражался этому всёмогуществу .	ты поражался этому всёмогуществу .
Я расписался над галочкой .	ты расписался над галочкой .
Поначалу я даже опешил .	Поначалу ты даже опешил .
Я вижу несколько объяснений .	ты видишь несколько объяснений .
Туда я и отправился .	Туда ты и отправился .
Как я горько ошибся !	Как ты горько ошибся !
Вот что я получил .	Вот что ты получил .
Я гляжу на часы .	ты глядишь на часы .
Я посмотрел на систему .	ты посмотрел на систему .
Я так не считал .	ты так не считал .
Я плохо держал равновесие .	ты плохо держал равновесие .
Я шел на работу .	ты шел на работу .
Я машинально погладил подбородок .	ты машинально погладил подбородок .
А я хочу крови .	А ты хочешь крови .
Сейчас я докажу это !	Сейчас ты докажешь это !
Недавно я навещал товарища .	Недавно ты навещал товарища .
Ведь и я тружусь !	Ведь и ты трудишься !
Что я там вижу ?	Что ты там видишь ?
Чего это я разбрюзжался ?	Чего это ты разбрюзжался ?
Как горько я ошибся !	Как горько ты ошибся !
Я так и делаю .	ты так и делаешь .
Я был в растерянности .	ты был в растерянности .
Я знаю два способа .	ты знаешь два способа .
Я плюхнулся на сиденье .	ты плюхнулся на сиденье .
Но журнал я уважаю .	Но журнал ты уважаешь .
Я укоризненно покачал пальцем .	ты укоризненно покачал пальцем .
И я имею имя .	И ты имеешь имя .
О чем я говорил ?	О чем ты говорил ?
Я осмотрел собственные руки ;	ты осмотрел собственные руки ;
Но я не верил .	Но ты не верил .
Подушкой я не обольщался .	Подушкой ты не обольщался .
И я догадываюсь почему .	И ты догадываешься почему .
Ну , я пошел .	Ну , ты пошел .
Я спрятал деньги поглубже .	ты спрятал деньги поглубже .
Я еще не свихнулся .	ты еще не свихнулся .
Что же я вижу ?	Что же ты видишь ?
Ну я и забыл .	Ну ты и забыл .
Я еще кое-что приготовил .	ты еще кое-что приготовил .
Я подхожу к полке .	ты подходишь к полке .
Я живо Санта-Клаусу отправлю ...	ты живо Санта-Клаусу отправишь ...
Но я что-то отвлекся .	Но ты что-то отвлекся .
Я приношу практическую пользу !	ты приносишь практическую пользу !
Я молчу про программистов .	ты молчишь про программистов .
Да откуда я знаю ?!	Да откуда ты знаешь ?!
Я и не сомневался .	ты и не сомневался .
Вот я и бегу .	Вот ты и бежишь .
Боюсь ли я этого ?	боишься ли ты этого ?
Может , я ошибаюсь ?	Может , ты ошибаешься ?
Я тоже не знаю .	ты тоже не знаешь .
Я сам такого видел .	ты сам такого видел .
Что я смешного сказал ?	Что ты смешного сказал ?
Ответа я не дождался .	Ответа ты не дождался .
Был когда-то я программистом .	Был когда-то ты программистом .
Сколько же я спал ?	Сколько же ты спал ?
А я шел мимо .	А ты шел мимо .
Ну я и купила .	Ну ты и купила .
Я не юзаю винды .	ты не юзаешь винды .
Я так и знал .	ты так и знал .
К чему я веду ?	К чему ты ведешь ?
И я не поддалась .	И ты не поддалась .
Не послушал я бабушку ...	Не послушал ты бабушку ...
Но я снова отвлекся .	Но ты снова отвлекся .
Я лихорадочно просчитывал варианты .	ты лихорадочно просчитывал варианты .
Я же учу испанский !	ты же учишь испанский !
Я ненавижу оптические компьютеры .	ты ненавидишь оптические компьютеры .
Богаче я не стал .	Богаче ты не стал .
Я очень люблю снег .	ты очень любишь снег .
Я принялся за дело .	ты принялся за дело .
Я попробовал полученные патчи ...	ты попробовал полученные патчи ...
Что я и сделал .	Что ты и сделал .
Не люблю я разборок .	Не любишь ты разборок .
Я делал это осознанно !	ты делал это осознанно !
Но я взял натуру .	Но ты взял натуру .
Да , я рискую .	Да , ты рискуешь .
Я выбрал первый вариант .	ты выбрал первый вариант .
Я есть ламер обыкновенный .	ты есть ламер обыкновенный .
Осторожно я поднял глаза .	Осторожно ты поднял глаза .
Я осторожно ощупал одежду .	ты осторожно ощупал одежду .
Я снова поднял глаза .	ты снова поднял глаза .
Я вскочил на ноги .	ты вскочил на ноги .
Что я и проделал .	Что ты и проделал .
Я думаю , да .	ты думаешь , да .
Срал я на все ...	Срал ты на все ...
Я вроде не слыхал .	ты вроде не слыхал .
Так я и знал .	Так ты и знал .
Я так и поступил .	ты так и поступил .
Я настойчиво требую опровержения !	ты настойчиво требуешь опровержения !
И я поддался уговорам .	И ты поддался уговорам .
Я там бывал наездами .	ты там бывал наездами .
Я поверил , спокойнее .	ты поверил , спокойнее .
Я просто тактично намекаю ...	ты просто тактично намекаешь ...
К чему я клоню ?	К чему ты клонишь ?
Я мужа дважды перезагружала ...	ты мужа дважды перезагружала ...
И я не стал .	И ты не стал .
Я думаю , нет .	ты думаешь , нет .
Не нравлюсь я себе .	Не нравишься ты себе .
Я и не знал .	ты и не знал .
Я попробовал , работает .	ты попробовал , работает .
Пока я не знаю .	Пока ты не знаешь .
Зачем я все это пишу ?	Зачем ты все это пишешь ?
И как я мог ?	И как ты мог ?
Я например читаю все .	ты например читаешь все .
Но я не отчаиваюсь .	Но ты не отчаиваешься .
Коротко я скажу так .	Коротко ты скажешь так .
Но я не могу !	Но ты не можешь !
Я это больно воспринимаю .	ты это больно воспринимаешь .
Я был в шоке .	ты был в шоке .
Что я там любил ?	Что ты там любил ?
Я тогда только усмехнулся .	ты тогда только усмехнулся .
Но я рано обрадовался .	Но ты рано обрадовался .
Я частенько заглядываю туда .	ты частенько заглядываешь туда .
Вот я и отнесся .	Вот ты и отнесся .
Я полагаю , нет .	ты полагаешь , нет .
Я так и сделал .	ты так и сделал .
Что я и записал .	Что ты и записал .
Так что же я сижу ?	Так что же ты сидишь ?
Я бы рекомендовал следующее .	ты бы рекомендовал следующее .
Только я себя знаю .	Только ты себя знаешь .
Я наблюдаю обратный процесс .	ты наблюдаешь обратный процесс .
Я подошел к железкам .	ты подошел к железкам .
Тогда я тоже записываюсь .	Тогда ты тоже записываешься .
Почему я так считаю ?	Почему ты так считаешь ?
Согласился ли бы я ?	Согласился ли бы ты ?
Я посмотрел на трубку .	ты посмотрел на трубку .
Снимаю я преимущественно природу .	снимаешь ты преимущественно природу .
